site,title,url,1,2
1,广东省人民政府办公厅关于公布第十六批火灾隐患重点地区及重大火灾隐患单位整治工作验收结果和挂牌督办第十七批火灾隐患重点地区及重大火灾隐患单位的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4740698.html,,2025-07-07
1,广东省人民政府关于禁止在江门市新会区新建甜水水库工程占地和淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4740700.html,,2025-07-07
1,广东省人民政府办公厅关于印发广东省哲学社会科学优秀成果奖励办法的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfb/content/post_4741916.html,,2025-07-09
1,广东省人民政府关于将一批省级行政职权调整由深圳市实施的决定,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfl/content/post_4745566.html,,2025-07-16
1,广东省人民政府关于广州国家历史文化名城等7个历史文化名城、名镇、名村保护规划的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4746293.html,,2025-07-18
1,广东省人民政府关于表彰第十届广东专利奖获奖单位及个人的通报,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4748371.html,,2025-07-23
1,广东省人民政府关于禁止在南雄盆地灌区续建配套与现代化改造工程占地新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4755994.html,,2025-08-08
1,广东省人民政府关于禁止在梅州市长潭水库扩建工程（广东部分）占地和淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4756019.html,,2025-08-08
1,广东省人民政府办公厅关于印发《广东省推动商业航天高质量发展若干政策措施（2025—2028年）》的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4760518.html,,2025-08-19
1,广东省人民政府办公厅关于印发广东省地震应急预案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4723168.html,,2025-06-11
1,广东省人民政府办公厅关于印发广东省全域“无废城市”建设工作方案的通知,http://www.gd.gov.cn/zwgk/wjk/qbwj/ybh/content/post_4723192.html,,2025-06-11
1,广东省人民政府关于禁止在阳江市龙门水库工程占地和淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4731896.html,,2025-06-23
1,广东省人民政府关于划定廉江核电厂规划限制区的批复,http://www.gd.gov.cn/zwgk/wjk/qbwj/yfh/content/post_4731871.html,,2025-06-23
